pc1,pc2,value
-1.8362355E+00,-1.011945E+00,1
-7.277964E-01,-2.2709537E+00,1
-8.1662804E-01,-1.2545079E+00,0
-1.4763235E-01,-8.8188195E-01,0
-7.323787E-01,-2.6410326E-01,0
-2.001038E-01,-7.22616E-01,0
1.401078E+01,7.245543E+00,0
-1.8298565E+00,-7.4218047E-01,0
-6.9978327E-01,-1.5913185E+00,0
-2.840588E+00,1.0972424E+00,0
-1.0379183E+00,-1.4004885E+00,0
-1.104375E+00,1.1147348E+00,0
-1.6513553E+00,1.4604949E+00,0
1.6717697E+00,-2.857695E+00,1
6.816641E-01,1.04877315E-01,0
7.4637188E-03,-2.108607E+00,0
5.611848E-01,-3.3799431E+00,1
4.7727113E+00,5.601258E+00,0
-2.9450548E+00,2.42181E+00,0
-3.0982828E+00,1.6410501E+00,0
-8.1894827E-01,-5.3154474E-01,0
-2.3414452E+00,3.9640528E-01,1
1.4177547E+00,-3.170189E+00,1
-3.0987659E+00,3.59977E+00,1
-1.357017E+00,-7.936417E-01,0
-2.4673133E-01,-1.3183687E+00,0
-2.330577E+00,7.5436674E-02,1
-8.6259705E-01,-1.3230122E+00,0
-2.034524E+00,7.638467E-01,0
-9.071914E-01,-1.1007828E+00,0
-1.4138789E+00,1.9635813E+00,0
-1.9217175E-01,-1.9615879E+00,1
1.2514236E+00,3.1859286E-02,0
-1.7901975E+00,4.6094685E+00,0
-2.72082E+00,3.8773448E+00,0
-2.8252833E+00,1.485554E+00,0
4.6317644E+00,1.6534823E+00,0
-1.195835E+00,-9.344263E-01,0
-2.7220702E+00,5.820215E-01,1
-1.181911E+00,1.9664614E-01,0
8.610953E+00,5.2410827E+00,0
5.9596825E-01,-1.4593449E-01,0
-1.1873775E+00,-1.9057977E+00,0
7.8957355E-01,-2.1320182E-01,0
-3.564667E-01,-1.3408238E+00,0
-3.4114742E+00,2.3241627E+00,1
-9.067326E-01,-1.2343504E+00,1
-1.875664E+00,-2.8093562E-01,1
-1.1299227E+00,1.6249077E+00,0
-8.266677E-01,-1.1512228E+00,0
1.4333096E+00,-3.5926971E+00,1
-4.2921796E-02,-8.566217E-01,0
-2.9080505E+00,2.899133E+00,0
3.90587E-01,-1.0415348E+00,0
-2.5234532E-01,-9.726016E-01,0
-3.2394884E+00,3.586146E+00,0
-1.5067401E+00,1.04122624E-01,0
3.7800279E+00,1.1938094E+00,0
3.612684E-01,-3.5151482E+00,0
1.1184385E+01,5.2194276E+00,0
-6.231301E-01,-3.947898E-02,1
-1.767678E-01,-6.863381E-01,0
1.4653043E+00,-4.226961E+00,1
-2.1759E+00,3.9795175E-01,1
-2.6572146E+00,1.0860434E+00,0
6.2872297E-01,1.2812326E+00,1
-1.6072902E-01,-3.1120517E+00,1
-1.9660158E+00,1.8028013E-01,0
-1.7019582E+00,-2.521897E-01,0
-6.398903E-01,-2.0743184E+00,0
-2.4273686E+00,4.0224937E-01,0
2.842674E+00,-3.5639274E+00,1
-1.5338752E+00,-1.03027835E-01,0
-2.2615907E+00,9.168482E-01,0
-8.632496E-01,2.5529163E+00,0
-4.3072325E-01,-2.2578971E+00,0
-7.7804613E-01,-1.2189332E+00,0
-2.3739314E+00,1.3996553E+00,0
-6.2917405E-01,-1.4039336E+00,1
-2.9114962E+00,1.3853121E+00,1
1.8714547E+00,7.770902E-01,0
8.2067096E-01,1.9166197E+00,0
-6.019704E-01,-1.4126253E+00,1
2.8941798E+00,6.232788E-01,0
-5.27033E-01,-1.0604594E+00,0
2.7357004E+00,7.6404315E-01,0
-1.6446844E+00,4.3190584E-01,1
-1.3341486E+00,-1.0120054E+00,0
-6.359417E-01,1.0173286E+00,0
-3.6361896E-02,-3.1550617E+00,0
5.4268007E+00,-1.7234178E+00,1
-2.166936E+00,8.42219E-01,0
-3.5168972E+00,2.2793958E+00,0
-2.4564705E+00,8.10865E-01,0
-3.9050612E-01,-1.2451226E+00,0
5.6105435E-01,-8.759189E-01,0
-1.2361557E+00,2.1691637E+00,0
1.1948633E+00,1.0847292E-01,0
-1.0197331E+00,-1.2888409E+00,0
-9.550678E-01,-1.1741905E+00,1
-3.304615E+00,2.3160908E+00,0
-1.2857039E+00,1.5576367E+00,0
1.4629013E+01,6.0497565E+00,0
-4.1113824E-01,-1.1900693E+00,1
2.119227E+00,-3.60363E+00,0
-2.6595767E+00,1.1292472E+00,0
-2.2361774E+00,3.974437E-01,0
-2.1486528E+00,1.3524843E+00,0
3.0806503E+00,3.1913533E+00,0
-2.7310796E+00,1.6344299E+00,0
2.4775734E+00,8.4591186E-01,0
-4.5484588E-01,-1.7723225E+00,0
5.7775292E+00,-2.3199158E+00,0
3.1407282E-01,-2.0830633E-01,0
-6.395832E-01,-1.4653677E+00,0
2.9692137E-01,-2.7750223E+00,1
-2.2952633E+00,8.3370906E-01,0
-4.5018002E-01,-2.045598E+00,1
-1.4834371E+00,1.4882022E+00,0
-5.7859117E-01,-9.284976E-02,0
2.434545E+00,-4.584545E+00,1
-2.8070219E+00,2.4097958E+00,1
-3.0728981E+00,1.7999647E+00,0
7.702545E+00,2.621116E+00,1
-8.5352284E-01,-1.1535255E+00,0
-2.9491305E+00,5.2169526E-01,0
2.0656264E+00,2.7290696E-01,0
2.1799877E+00,7.8088695E-01,1
-1.0497158E+00,-1.3870419E+00,1
1.1788769E+00,-2.6459599E+00,0
-2.4872262E+00,1.029132E+00,0
-1.5956641E+00,-1.4351894E-01,0
6.161118E+00,2.635943E+00,0
6.2093306E+00,2.603669E+00,0
-7.8642297E-01,-1.4918407E+00,0
3.520716E-01,-2.614597E+00,0
-5.547627E-01,-6.4041597E-01,0
-1.0406547E+00,-9.3163186E-01,0
-2.7564394E+00,9.511433E-01,1
-3.5875022E-01,-8.71299E-01,0
-2.9323866E+00,1.7573471E+00,1
-2.2249188E+00,1.4451703E-01,0
4.3232667E-01,-3.5282366E+00,0
-2.6390789E+00,2.397338E+00,0
-2.031808E+00,2.006595E-01,0
-6.0772204E-01,-1.9577804E+00,0
-7.9762346E-01,-1.1575199E+00,1
3.5901294E+00,6.847342E-01,0
3.063675E-01,-3.5188215E+00,0
-2.0681713E+00,1.3502547E+00,0
1.3443767E+00,-9.760686E-01,0
2.0908521E-01,-2.1654813E-01,0
-2.140322E+00,9.077996E-01,0
4.4596176E+00,2.5318801E+00,0
-1.0869639E+00,-1.4796818E+00,0
-6.9855514E-04,-1.1031776E-01,0
1.6415465E+00,6.87638E-01,0
4.022963E+00,1.250993E+00,0
7.5076838E+00,-5.348662E+00,1
-1.03054866E-01,-2.5183616E+00,0
1.1530024E+00,-3.637868E+00,0
-1.3290664E+00,-1.7568547E+00,0
-2.0044596E+00,4.9475282E-01,0
3.9526415E+00,1.34554E+00,0
-5.1303494E-01,-9.403569E-01,0
1.3638775E+00,2.9244015E-01,0
-2.6703022E+00,3.5277555E+00,0
1.0095049E+00,-1.3599279E+00,0
1.6143951E+00,-6.2577367E-01,0
-4.9834803E-01,-1.3162352E+00,0
-1.6243362E-01,-7.1069825E-01,0
-2.3233654E+00,1.2096684E+00,0
-1.1451845E+00,-1.1157018E+00,0
-3.2356653E+00,1.2574705E+00,1
-2.551833E+00,1.3524033E+00,0
3.0491457E+00,-3.4643672E+00,1
-1.7676635E+00,-3.8837838E-01,0
6.77675E-01,-2.6513793E+00,0
-9.707812E-01,-1.5805079E+00,0
6.3022745E-01,-1.2379886E+00,0
-5.127168E-01,3.0742225E-01,0
-8.2654315E-01,-7.3107857E-01,0
2.8568943E+00,3.3775148E+00,0
-2.2220217E-01,-9.635707E-01,1
-1.2295932E+00,-1.5562038E+00,0
1.27956495E-02,-2.440961E+00,1
-2.9422545E-01,2.757635E+00,0
7.016918E+00,-1.5297872E+00,1
-9.5955336E-01,-9.889983E-01,0
2.5197165E+00,-6.7160335E+00,0
7.282237E-01,4.2049256E-01,0
-1.6571268E-01,-1.9138489E+00,1
-2.1487205E+00,1.1073878E+00,0
-1.2730199E+00,7.0499316E-02,0
-1.126282E+00,-7.1094996E-01,0
1.5904125E+00,-3.6632233E+00,1
-3.360544E+00,2.0715022E+00,0
-1.1028532E+00,-5.794893E-01,0
-2.663973E+00,2.777141E+00,0
-9.134642E-02,-2.8271701E+00,1
-3.4853485E+00,2.673824E+00,0
1.8725324E-01,-1.5632218E+00,0
-1.8192352E+00,9.1413707E-01,0
2.4727335E+00,4.0580846E-02,0
5.1847625E+00,2.3051867E+00,0
-9.5065916E-01,-5.526327E-01,0
-2.3441138E+00,7.851969E-01,0
-2.2270925E+00,6.9497454E-01,1
6.6164094E-01,-7.062349E-01,1
-2.5906804E+00,2.16118E+00,0
6.949083E-01,1.6519833E+00,0
-2.081235E+00,6.7240685E-01,1
-2.7402806E-01,-8.260348E-01,0
-3.856539E-01,-2.1209512E+00,0
1.0996995E+01,1.8225876E+00,0
-1.7871852E+00,-6.6831636E-01,0
-2.9234626E+00,1.5017692E+00,1
1.558621E+00,-1.0621278E+00,0
1.0283915E+00,-1.884833E-01,0
-2.7414696E+00,1.7595483E+00,0
3.3715246E+00,1.6048737E-02,1
9.505662E+00,4.162142E+00,0
6.461752E+00,2.6709373E+00,0
1.1271725E+00,2.419624E-01,0
8.8962334E-01,-2.432902E+00,1
2.7747471E+00,1.2015735E+00,0
-2.3128316E+00,1.1908615E+00,0
-6.7708176E-01,-1.389346E+00,0
3.6043126E-02,-1.9216163E+00,1
-7.0032924E-01,-2.3812284E+00,0
-8.633665E-01,-8.86102E-01,0
5.6068853E-02,-3.0487854E+00,1
-7.2505516E-01,3.190975E-01,0
4.3103585E+00,-9.6723574E-01,1
-4.5956352E-01,-1.0320061E+00,0
-2.0528476E+00,8.0318123E-01,0
6.8552625E-01,-5.26033E-01,0
-2.9664803E+00,2.155506E+00,0
5.7553754E+00,2.4597237E+00,1
-6.990766E-01,-1.1206793E+00,1
-1.425393E+00,-1.0198961E+00,0
-1.2904459E-01,-6.476599E-01,0
-4.9435854E-01,-1.2739828E+00,0
-1.3556134E+00,-8.1443316E-01,0
-4.0945104E-01,-2.8223574E+00,0
-1.3511753E+00,-9.589757E-01,0
-1.7389268E+00,9.327189E-01,0
-3.3117124E-01,-1.089998E+00,0
4.6299624E-01,-5.802973E-01,0
-6.830154E-01,-1.1747878E+00,0
6.714788E-01,-2.4794157E+00,0
-5.918843E-01,-1.5611613E+00,0
2.0484335E+00,9.208359E-02,1
7.4758023E-01,1.2745074E+00,0
-1.8626044E+00,7.2525877E-01,0
-3.43169E-01,-1.2653897E+00,0
-1.9052116E+00,5.3955036E-01,0
-1.4016129E+00,8.9736664E-01,0
-2.5574105E+00,1.1152604E+00,0
5.0413976E+00,1.6770475E+00,1
2.0598989E+00,2.3261442E+00,0
-1.950883E-01,-1.2929442E+00,0
-1.3577155E+00,6.445592E-01,0
-2.9445615E+00,3.169904E+00,0
-2.2325528E+00,9.035579E-01,0
-2.496132E+00,6.522574E-01,0
-7.5083655E-01,-2.3116531E+00,0
4.3552655E-01,-4.5377752E-01,1
-3.9151746E-01,-5.309657E-01,0
2.1292293E-02,-3.2821152E+00,1
-4.010605E-01,-1.1990888E+00,0
-1.3241762E+00,-9.334123E-01,0
-3.0116832E+00,2.0546463E+00,1
-8.54389E-01,-1.0245111E+00,0
-3.3116474E+00,2.3357108E+00,1
4.971076E-02,-8.2671344E-01,0
-1.4802222E+00,1.1097559E+00,1
-2.5556462E+00,4.5750797E-01,0
-2.4016954E-01,-1.0785328E+00,0
2.0001607E+00,5.4152656E-01,0
-2.0445611E+00,-4.0957198E-01,0
1.6168617E+00,1.7664063E+00,0
2.6020164E+00,5.431897E-01,0
2.636429E-01,-1.8837291E-01,0
2.2025623E+00,6.920017E-01,0
-8.5135514E-01,2.5666037E+00,0
8.800122E-01,-5.047781E-01,0
3.2150593E+00,1.595186E+00,0
1.0563276E+00,-1.1299187E+00,1
-9.398111E-01,-7.379721E-01,0
-2.9330587E+00,2.590655E+00,1
-3.042494E+00,7.537757E-01,1
1.010558E+00,-5.1040473E+00,0
-6.6492575E-01,-2.3599274E+00,1
-3.0107994E+00,1.3631756E+00,0
3.847678E+00,1.4447627E+00,0
-2.2979343E+00,3.8723707E-01,0
3.3468647E+00,1.0875409E+00,0
5.4558713E-02,3.0183905E-01,0
-1.6381344E+00,7.737679E-01,1
1.1858978E+00,-5.537501E-01,0
-2.6034794E+00,4.5457964E+00,0
-6.31767E-01,-9.796601E-01,0
-6.6077495E-01,-1.5285314E+00,1
-1.7925634E+00,1.3381466E-01,0
-3.3224568E+00,1.8251476E+00,0
-1.7374234E+00,1.716317E+00,0
-2.4901469E+00,1.0989518E+00,0
1.8930063E+00,-5.5918813E+00,1
-2.024772E+00,9.8236555E-01,0
-1.6730342E+00,6.994151E-01,0
3.1485415E+00,9.1856605E-01,0
-6.170585E-01,-1.6495967E+00,0
1.3510106E+00,-1.4892377E+00,1
-4.2529312E-01,-7.9113394E-01,0
-4.0950266E-01,-1.4528239E+00,1
2.8239793E-01,-7.178235E-01,0
-2.3888152E+00,9.65705E-01,0
8.068703E-01,-2.6758933E+00,0
-2.8588347E+00,9.597575E-01,0
1.2012011E+00,-2.309939E+00,1
3.764463E+00,2.220424E+00,0
-1.2363709E+00,-1.475898E+00,0
-1.6983923E+00,2.5372896E-01,1
2.0289009E+00,8.218104E-01,0
-4.776335E-01,-7.6493725E-02,0
-7.154198E-01,-1.8443643E+00,1
1.2638326E+00,-3.7433164E+00,1
-1.3811448E+00,3.5552626E+00,0
4.1077533E+00,-2.5131922E+00,0
-1.0047294E+00,-2.3055236E-01,1
-6.3346076E-01,-1.7657368E+00,1
-4.0972173E-01,-1.4907287E+00,0
-1.5833127E+00,2.3220243E+00,0
-8.242974E-01,-1.1346343E+00,0
3.4784248E+00,1.4601151E+00,0
3.749554E+00,1.7909155E+00,0
-3.4162042E+00,1.8182672E+00,0
-1.3417967E-01,-9.0728915E-01,1
-2.1811965E+00,5.8622897E-01,0
-3.358635E+00,2.0723608E+00,0
-1.3765471E+00,-1.4589132E+00,0
-8.909198E-01,-3.2954097E-01,0
3.9866831E+00,3.763209E+00,0
2.4354122E+00,9.260467E-01,0
-2.1568906E+00,6.8524903E-01,0
-1.7080317E+00,-6.3146335E-01,0
6.72168E-02,-9.926225E-01,1
3.1892033E+00,6.631658E-01,0
-7.834607E-01,-1.4589914E+00,1
-1.1988454E+00,-2.8614244E-01,0
-1.7768116E+00,2.2588887E+00,0
-2.888769E+00,1.9741831E+00,1
2.0024711E-01,-7.809388E-01,0
6.2694865E-01,-3.231905E+00,0
-3.6156383E-01,-5.1448494E-01,1
2.5608208E+00,5.456883E-01,0
4.767837E+00,1.8155457E+00,0
1.0719148E+00,1.7993528E-01,0
-1.1136782E+00,2.2514312E+00,0
1.5818905E+01,3.9830706E+00,1
1.0808437E+00,6.1640803E-02,0
1.4239103E+00,-3.6619775E+00,0
-2.0499172E+00,2.0804298E-01,1
-3.4672918E+00,2.6164515E+00,0
-1.9501495E+00,9.662578E-01,0
-1.7576984E-01,-7.1803844E-01,0
-3.7458614E-01,-3.3721066E+00,0
-2.882772E+00,2.0411782E+00,0
-1.4213018E-01,-2.654192E+00,1
-1.6379974E+00,1.1713332E-02,1
-1.5579423E+00,1.6492603E+00,0
1.0056075E+00,-1.9801856E+00,0
-5.611E-01,-1.3502272E+00,0
3.8773668E+00,2.7420096E+00,0
-6.104768E-01,-1.1021979E+00,0
3.001357E-01,-2.5818698E+00,0
-1.7950947E+00,5.15387E-01,0
4.4328922E-01,-3.588819E-02,0
-8.0266845E-01,-1.53658E+00,1
1.1734017E+00,-3.0490938E-01,0
-3.1219748E-01,-3.0021298E+00,1
1.7083641E+00,1.7294078E-01,0
-9.699281E-01,-1.6264507E+00,1
-1.0403944E+00,-9.3095344E-01,0
8.02114E+00,3.9605532E+00,0
-1.9795214E+00,1.7165173E+00,0
1.9828752E+00,-1.500611E+00,1
3.91162E+00,1.0505087E+00,0
-1.3092277E+00,1.6084094E+00,1
-2.8607082E+00,2.149085E+00,0
-7.5125545E-02,-3.896561E-02,1
1.5706521E+00,3.317326E-01,0
-6.716085E-01,-1.0787886E+00,0
-2.3587914E+00,2.581217E+00,0
3.1827548E+00,1.2566832E+00,0
-1.21974505E-01,-5.8717465E-01,0
-3.4622993E+00,1.5453357E+00,0
1.7360092E+00,3.0789766E-01,0
4.450098E+00,-3.1032104E+00,0
2.897122E+00,2.6167827E+00,0
-4.6619278E-01,-1.1292192E+00,0
-1.7905942E+00,-8.312099E-02,1
-3.75314E-01,-1.1551404E+00,0
5.8090787E+00,-1.7885048E+00,1
-2.3826284E+00,3.689278E+00,0
-2.1937022E+00,4.3769583E-01,0
1.228761E+01,5.0404167E+00,0
8.150582E-01,8.276124E-01,0
4.33358E+00,1.868375E+00,0
1.3646315E+00,-3.7455096E+00,1
-2.7991383E+00,1.6256037E+00,0
-2.2053983E+00,9.885244E-01,0
-4.945006E-01,-1.8776333E+00,1
-6.9763446E-01,5.514638E+00,0
-2.860134E+00,1.167271E+00,0
-3.302485E+00,2.6987605E+00,0
-5.957574E-01,-1.3923951E+00,0
-2.6347563E-01,-1.0233406E+00,0
-3.046731E+00,1.8900255E+00,1
1.08339876E-01,-2.0278673E+00,0
3.8587852E+00,2.2193317E+00,0
-2.204435E+00,5.680347E-01,0
3.0781891E+00,-1.3320389E+00,1
5.2387686E+00,2.5325987E+00,0
-3.0561306E+00,1.3567756E+00,0
3.153949E-01,-3.4918826E+00,1
-2.3080673E+00,4.9921048E-01,1
2.2757289E-01,-3.683643E-01,0
2.6310072E+00,5.38895E-01,0
1.1076778E+00,-4.5992634E-01,0
8.164703E+00,4.0286555E+00,1
1.4058055E-01,-2.5404614E-01,0
4.1390347E+00,2.8445845E+00,0
-1.7654574E+00,9.589533E-01,0
7.93577E+00,-6.3393223E-01,1
-2.1069865E+00,-6.902162E-02,0
6.794779E-01,-4.888356E-01,0
-2.8571E-01,-4.4982874E-01,0
4.346524E-01,9.8204715E-03,1
-1.7361135E+00,-5.989077E-01,0
2.2104797E+00,-9.439876E-01,0
-2.4201717E+00,1.8690328E-01,0
2.4990518E+00,1.0520645E+00,0
5.69386E+00,2.493058E+00,1
-3.6485216E-01,-1.0107503E+00,0
1.6853286E+00,5.3371376E-01,0
-1.5573046E+00,9.4929063E-01,0
-4.33427E-01,-2.0552903E-01,0
1.4316026E+00,-6.004714E-01,0
-2.824848E+00,2.3200846E+00,1
1.4106016E+01,5.9786234E+00,1
4.2139554E+00,2.4220576E+00,0
-2.139464E+00,1.751199E+00,0
6.6341764E-01,-5.7660234E-01,0
-7.952988E-01,-1.1801099E+00,0
2.9671357E+00,-3.4455428E+00,0
-1.426287E+00,-3.0333754E-01,0
-1.7563424E+00,1.2684184E+00,0
-5.771057E-01,-7.7785397E-01,1
3.2041624E+00,9.8557884E-01,0
-2.1018467E+00,5.537732E-01,0
1.877273E-01,9.74879E-01,0
2.303522E+00,1.7611797E+00,0
-2.4594026E+00,4.631924E-01,0
5.0979257E+00,2.7637382E+00,1
5.03557E+00,2.0916693E+00,1
-4.5014948E-01,-1.044317E+00,0
8.2883334E-01,1.2891097E+00,0
-2.3431406E+00,9.873337E-01,0
8.623428E+00,3.8179123E+00,1
7.2096863E+00,3.1030078E+00,0
-2.1188886E+00,4.3845448E-01,0
9.024652E-01,-2.8940556E+00,0
-2.173998E+00,5.37694E-01,0
-5.013392E-01,-1.2470119E+00,0
-3.7045228E-01,-7.453533E-01,0
1.032243E+00,-1.0304793E+00,0
-1.6038504E+00,7.6919943E-01,0
-3.4133382E+00,2.3145537E+00,0
1.1983964E+00,9.909188E-01,0
4.7203407E+00,-1.7104796E+00,1
-3.3015776E-01,-1.4351417E+00,0
2.810649E+00,-3.3819025E+00,0
-2.263005E+00,4.642822E-01,0
3.5311408E+00,8.498227E-01,0
-1.9456456E+00,1.6706525E+00,0
1.8937271E+00,4.7884583E-01,0
-2.0950065E+00,3.569618E-01,1
-2.1050763E+00,1.5184395E+00,0
-3.4381523E+00,1.7046297E+00,0
1.0864502E+00,-3.8592598E+00,0
2.6868436E+00,-3.0472818E-01,0
-2.2030325E+00,3.6830944E-01,0
-1.1771508E+00,-7.666829E-01,1
-2.3849986E+00,6.112567E-01,0
5.077835E+00,1.8463877E+00,0
-2.8229782E-01,-2.170719E+00,0
-2.560071E+00,1.5883914E+00,0
-4.047709E-02,-1.9912971E+00,0
1.2443826E-01,-2.1981633E+00,0
1.4619203E+00,-3.9289103E+00,0
5.3560786E+00,2.2062116E+00,0
-8.9800507E-01,-4.97025E-01,1
-3.36532E+00,1.9449999E+00,0
-2.3705723E+00,6.393047E-01,0
5.3099127E+00,7.8895535E+00,0
2.3439515E-01,-1.3233482E+00,0
-5.98932E-01,-1.7402035E+00,0
-2.6741426E+00,1.0946048E+00,0
-1.6575855E+00,-5.3559417E-01,0
-2.3816383E+00,1.7515114E-01,1
-1.0314738E+00,2.348924E+00,0
1.7682126E+00,-4.6938133E+00,1
-5.386801E-01,-2.1037376E+00,0
1.3744154E+00,6.593511E-01,0
9.317066E-01,-4.7010845E-01,0
-6.228697E-01,-1.2070482E+00,0
-6.4470875E-01,-2.4863317E+00,0
2.0770774E+00,1.3286532E+00,0
-9.089721E-01,-7.2078097E-01,0
5.103371E-01,5.3804135E-01,0
2.348876E+00,4.993428E+00,1
1.3851775E+00,1.14932865E-01,1
8.6327964E-01,3.190215E-01,0
-1.5638016E+00,1.6592755E+00,0
1.3829874E-01,-2.9774196E+00,0
4.818051E+00,1.3488648E+00,1
-2.4909916E+00,1.4025279E+00,0
-9.79237E-01,-1.4538527E+00,0
-5.128892E-01,-1.3812926E+00,0
-2.1286535E-01,-1.4461528E+00,0
-1.396961E-02,-3.4154797E+00,1
2.3030179E+00,-2.9955537E+00,1
-3.3954885E+00,2.0094352E+00,0
-1.826418E+00,-6.115591E-01,0
7.088411E+00,3.7002063E+00,0
1.0070057E+00,-3.6386254E-01,0
-2.1933408E+00,1.3348955E-01,0
3.6929889E+00,-2.848722E+00,0
-2.8229263E+00,1.4691688E+00,0
-2.9306743E+00,1.3059717E+00,0
1.0020155E+00,-3.5607479E+00,1
-8.035144E-01,2.4577847E-01,0
-1.3883861E+00,1.0400339E+00,0
2.2290866E-01,4.8245308E-01,0
-3.031317E+00,2.0167239E+00,1
-3.4174268E+00,1.8217725E+00,0
-1.2964517E+00,1.5034032E-01,0
-1.6942533E-02,-4.3460098E-01,0
2.1177717E-02,-2.8711128E+00,1
-1.9257345E+00,1.3913434E+00,1
-1.9763273E-01,-4.042078E-01,1
-2.6170697E+00,1.5917844E+00,0
-2.2611516E+00,2.0929346E+00,0
-9.2708474E-01,1.8606151E+00,0
-3.3996563E+00,2.6857195E+00,0
2.6301532E+00,-2.4786677E+00,0
-2.239829E+00,-1.9161679E-01,0
6.3986105E-01,4.9657527E-02,0
-1.6686113E+00,1.0822585E+00,0
-3.224355E+00,2.5679464E+00,0
-2.2874675E+00,3.5564962E-01,0
1.7224662E+00,1.268384E+00,0
2.6449203E-01,-2.5381138E+00,0
-3.0234215E+00,2.6220884E+00,0
-9.011931E-01,-7.69963E-01,1
-1.8937958E+00,1.5203735E+00,0
-5.5626935E-01,-1.4364002E+00,0
-2.3655627E+00,1.3433034E+00,0
-1.565534E+00,8.2670337E-01,0
-4.016847E-01,-1.2542504E+00,0
-2.4681852E+00,1.8169327E+00,0
-2.1775308E+00,5.3763723E-01,1
-2.1497483E+00,7.2802556E-01,0
7.7671385E+00,3.1195092E+00,1
-7.529032E-01,1.1379704E+00,0
-1.4665514E+00,-1.1216065E-01,0
-1.0667197E+00,-1.6790184E+00,0
-2.436651E+00,6.534394E-01,0
-2.5948007E+00,3.989428E-02,1
-1.7564863E-01,-6.57222E-01,0
-1.7500834E+00,1.2398441E+00,0
7.6523066E-01,-3.6110306E-01,0
-5.9741567E-04,-1.1792108E+00,0
