pc1,pc2,value
-1.6648819E+05,-7.553816E+04,1E+00
-1.1422698E+05,9.780671E+03,1E+00
-9.843236E+04,-3.3471387E+04,0E+00
-7.123068E+04,-9.522427E+04,0E+00
-1.1483462E+05,-6.872919E+04,0E+00
-6.7063516E+04,-9.79138E+04,0E+00
1.0272024E+06,-1.9604447E+05,0E+00
-1.24842375E+05,-7.20287E+03,0E+00
-8.685777E+04,1.7128342E+04,0E+00
-1.6066277E+05,-7.830775E+04,0E+00
-6.812279E+04,7.535734E+04,0E+00
-1.8680312E+04,1.1769301E+05,0E+00
1.4586203E+05,4.480676E+05,0E+00
-2.2732057E+04,-9.9842336E+04,1E+00
7.6998766E+04,5.0677242E+04,0E+00
-8.448679E+04,-8.744043E+04,0E+00
-1.3195067E+05,-9.494941E+04,1E+00
3.38039E+05,-1.0259004E+04,0E+00
-2.3283403E+03,2.2163973E+05,0E+00
-9.081466E+04,6.5215652E+04,0E+00
-6.8523914E+04,-3.9456033E+03,0E+00
-1.1960833E+05,1.2715232E+04,1E+00
-5.11083E+04,-8.324538E+04,1E+00
5.280936E+04,2.9395816E+05,1E+00
-1.2361712E+05,-1.904744E+04,0E+00
-7.7729836E+04,-9.140618E+04,0E+00
-1.4988344E+05,-3.895127E+04,1E+00
-1.1488123E+05,-7.014047E+04,0E+00
-1.4034998E+05,-5.4834863E+04,0E+00
-1.2010854E+05,-6.725751E+04,0E+00
-2.448956E+04,8.751031E+04,0E+00
-1.0048483E+05,-7.8412445E+04,1E+00
4.6171867E+04,-1.0395218E+05,0E+00
1.1313687E+05,3.2132766E+05,0E+00
8.9379836E+04,3.3136475E+05,0E+00
-9.046101E+04,4.2061324E+04,0E+00
3.3810888E+05,-6.2338727E+04,0E+00
-1.3618745E+05,-4.568513E+04,0E+00
-1.5440327E+05,-4.792941E+04,1E+00
-2.3172332E+04,1.4261628E+05,0E+00
5.85928E+05,-1.05753484E+05,0E+00
-5.4806104E+03,-1.0897305E+05,0E+00
-1.662107E+05,-8.696839E+04,0E+00
2.5498662E+04,-4.607199E+04,0E+00
-1.078266E+05,-8.54308E+04,0E+00
-7.606694E+04,9.1286336E+04,1E+00
-1.4027198E+05,-9.000055E+04,1E+00
-1.0176742E+05,3.7008227E+04,1E+00
5.107195E+04,2.1655872E+05,0E+00
-1.2854821E+05,-9.685742E+04,0E+00
-6.39244E+04,-7.604591E+04,1E+00
-3.462647E+04,-5.848189E+04,0E+00
-9.85076E+03,1.6919861E+05,0E+00
7.6431384E+02,1.3575013E+04,0E+00
-4.1151996E+04,2.7055823E+03,0E+00
6.967355E+04,3.416257E+05,0E+00
-6.972435E+04,5.381692E+04,0E+00
2.498584E+05,-1.2777749E+05,0E+00
-7.854491E+04,8.126196E+04,0E+00
8.304346E+05,-2.0266503E+05,0E+00
1.0607821E+05,3.2095562E+05,1E+00
-5.303707E+04,-8.322974E+04,0E+00
-9.907571E+04,-7.9121445E+04,1E+00
-1.3241664E+05,-6.0711195E+04,1E+00
-1.1454374E+05,2.135104E+04,0E+00
9.678696E+04,-2.0289188E+04,1E+00
-1.6631602E+05,-8.702531E+04,1E+00
-7.297758E+04,8.980025E+04,0E+00
-1.12730914E+05,2.1667102E+04,0E+00
-1.3743708E+05,-9.202551E+04,0E+00
-1.3909456E+05,-2.2130555E+04,0E+00
1.0600853E+05,1.146585E+05,1E+00
-7.096803E+04,7.739114E+04,0E+00
-3.4652688E+04,1.5976644E+05,0E+00
3.857592E+04,1.794539E+05,0E+00
-1.3369253E+05,-9.39794E+04,0E+00
-1.0075526E+05,-7.8659875E+04,0E+00
-3.1162121E+04,1.6916733E+05,0E+00
-1.1051874E+05,-9.5791195E+04,1E+00
-6.131922E+04,1.17357016E+05,1E+00
2.801679E+05,1.8617528E+05,0E+00
1.0198331E+05,1.6697531E+05,0E+00
-9.835791E+04,-6.824324E+04,1E+00
2.6835966E+05,1.1396958E+05,0E+00
-8.99841E+04,-8.465211E+04,0E+00
1.3685425E+05,-8.388111E+04,0E+00
-1.00091266E+03,2.2093103E+05,1E+00
-8.916926E+04,4.1529137E+04,0E+00
-2.7647086E+04,-2.8053426E+04,0E+00
-1.4791361E+05,-8.584017E+04,0E+00
2.2380967E+05,-8.93558E+04,1E+00
-3.579205E+04,1.4888538E+05,0E+00
-1.28599664E+05,-5.077763E+03,0E+00
-9.88068E+04,4.707891E+04,0E+00
-7.751694E+04,-8.037106E+04,0E+00
-4.9725186E+03,-8.73949E+04,0E+00
2.0455309E+04,2.1212644E+05,0E+00
6.6479234E+04,-5.8174066E+04,0E+00
-1.2423862E+05,-6.5099363E+04,0E+00
-1.3551869E+05,-9.310755E+04,1E+00
-1.0504617E+05,2.7562496E+04,0E+00
5.3437434E+04,2.1453484E+05,0E+00
1.0330519E+06,-2.2396353E+05,0E+00
-8.05204E+04,-8.9939055E+04,1E+00
-2.8513293E+04,-1.0750671E+05,0E+00
-1.3389714E+05,-3.571121E+04,0E+00
-1.3307012E+05,-2.5306402E+04,0E+00
-3.1635183E+03,2.1104922E+05,0E+00
1.3620028E+05,-1.1436442E+05,0E+00
-2.5466885E+03,2.217636E+05,0E+00
2.0966486E+05,6.770941E+04,0E+00
-1.21864055E+05,-6.6187195E+04,0E+00
2.6032619E+05,-1.7971459E+04,0E+00
-1.1815764E+04,-7.087641E+04,0E+00
-1.12553E+05,-7.152994E+04,0E+00
-1.2305361E+05,-8.845789E+04,1E+00
-5.852455E+04,1.1598479E+05,0E+00
-1.0501174E+05,-4.1291797E+04,1E+00
4.4523617E+04,2.4241855E+05,0E+00
1.6821059E+04,7.260417E+04,0E+00
-5.219646E+04,-1.055986E+05,1E+00
4.191482E+04,2.9985178E+05,1E+00
-1.2522601E+05,4.3840664E+03,0E+00
5.5622694E+05,-1.5260712E+05,1E+00
-1.2961293E+05,-9.6352875E+04,0E+00
-1.6946917E+05,-7.382798E+04,0E+00
1.3781653E+05,-4.0893605E+04,0E+00
1.4886183E+05,-7.065859E+04,1E+00
-1.4400584E+05,-5.3641758E+04,1E+00
-5.365362E+04,-9.3953086E+04,0E+00
-1.5251777E+05,-7.1144914E+04,0E+00
-5.706317E+04,1.15148125E+05,0E+00
5.0931675E+05,9.891622E+02,0E+00
4.680107E+05,-7.835948E+04,0E+00
-1.19217195E+05,-9.098341E+04,0E+00
-3.3910312E+04,1.019482E+05,0E+00
-5.6075418E+04,1.1725521E+04,0E+00
-6.041219E+04,8.254165E+04,0E+00
-1.5193458E+05,-4.919977E+04,1E+00
-7.832706E+04,-9.137062E+04,0E+00
-6.131922E+04,1.17357016E+05,1E+00
-8.928429E+04,6.4489363E+04,0E+00
-1.19675555E+05,-6.71832E+04,0E+00
-7.022624E+04,4.376444E+04,0E+00
-1.5924462E+05,-7.921551E+04,0E+00
-1.3787128E+05,-5.7072395E+04,0E+00
-5.7958344E+04,3.508055E+04,1E+00
2.079264E+05,-7.987686E+04,0E+00
-1.1809199E+05,-3.3994184E+04,0E+00
-4.304086E+04,1.305438E+05,0E+00
3.7115316E+04,-5.3136684E+04,0E+00
-4.682609E+04,-7.324007E+04,0E+00
-5.33943E+03,2.1194114E+05,0E+00
3.060041E+05,-4.2028008E+04,0E+00
-1.3986478E+05,-7.887667E+04,0E+00
-3.2449373E+04,-1.2599257E+04,0E+00
