pc1,pc2,value
-2.2645416E+00,-5.057039E-01,0
-2.0864255E+00,6.5540475E-01,0
-2.3679504E+00,3.184773E-01,0
-2.304197E+00,5.753677E-01,0
-2.3887775E+00,-6.747674E-01,0
-2.0705369E+00,-1.5185486E+00,0
-2.4457114E+00,-7.4562676E-02,0
-2.233842E+00,-2.4761394E-01,0
-2.3419576E+00,1.0951464E+00,0
-2.1886756E+00,4.4862905E-01,0
-2.1634865E+00,-1.0705956E+00,0
-2.3273778E+00,-1.5858746E-01,0
-2.2240827E+00,7.091182E-01,0
-2.6397161E+00,9.3828195E-01,0
-2.1922915E+00,-1.8899785E+00,0
-2.2514653E+00,-2.722371E+00,0
-2.2027504E+00,-1.5137503E+00,0
-2.190179E+00,-5.143043E-01,0
-1.8940743E+00,-1.4311107E+00,0
-2.3399491E+00,-1.1580334E+00,0
-1.9145564E+00,-4.3046516E-01,0
-2.2046454E+00,-9.524573E-01,0
-2.7741697E+00,-4.8951703E-01,0
-1.8204116E+00,-1.06750794E-01,0
-2.2282176E+00,-1.6218616E-01,0
-1.957024E+00,6.078926E-01,0
-2.0520632E+00,-2.660143E-01,0
-2.1681936E+00,-5.520165E-01,0
-2.140306E+00,-3.3664042E-01,0
-2.2687902E+00,3.148786E-01,0
-2.1445544E+00,4.839421E-01,0
-1.8319381E+00,-4.4526684E-01,0
-2.608203E+00,-1.8284752E+00,0
-2.4379508E+00,-2.1853917E+00,0
-2.1886756E+00,4.4862905E-01,0
-2.21112E+00,1.8433781E-01,0
-2.0444164E+00,-6.8495643E-01,0
-2.1886756E+00,4.4862905E-01,0
-2.4359522E+00,8.821694E-01,0
-2.1705472E+00,-2.9272696E-01,0
-2.2865272E+00,-4.679917E-01,0
-1.8717072E+00,2.3276916E+00,0
-2.5578344E+00,4.5381638E-01,0
-1.9642793E+00,-4.9739164E-01,0
-2.1333728E+00,-1.1714321E+00,0
-2.0753577E+00,6.9191736E-01,0
-2.3812582E+00,-1.1506326E+00,0
-2.3981917E+00,3.6239076E-01,0
-2.2267811E+00,-1.0254825E+00,0
-2.205954E+00,-3.2237846E-02,0
1.1039937E+00,-8.6311245E-01,1
7.324814E-01,-5.9863555E-01,1
1.2421095E+00,-6.1482245E-01,1
3.9730728E-01,1.7581689E+00,1
1.0725939E+00,2.117579E-01,1
3.8445815E-01,5.910625E-01,1
7.487151E-01,-7.786986E-01,1
-4.9786338E-01,1.8488687E+00,1
9.262224E-01,-3.0330827E-02,1
4.9680257E-03,1.0294011E+00,1
-1.2469746E-01,2.6580627E+00,1
4.3873012E-01,5.8881287E-02,1
5.5163395E-01,1.7725816E+00,1
7.1716505E-01,1.8543431E-01,1
-3.7258383E-02,4.327951E-01,1
8.7589055E-01,-5.0999814E-01,1
3.480064E-01,1.9062164E-01,1
1.5339254E-01,7.9072547E-01,1
1.2153032E+00,1.6333556E+00,1
1.5694118E-01,1.3031033E+00,1
7.382561E-01,-4.0247038E-01,1
4.7236967E-01,4.166082E-01,1
1.2279882E+00,9.409148E-01,1
6.2938106E-01,4.1681165E-01,1
7.004728E-01,6.349393E-02,1
8.73537E-01,-2.507086E-01,1
1.2542222E+00,8.26201E-02,1
1.3582399E+00,-3.2882026E-01,1
6.621261E-01,2.2434607E-01,1
